                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91767,                0.73148,                      1,                0.93738,             0.00023465,             0.00023465,             0.00023465
                      2,                 0.6511,                0.84259,                      1,                0.82849,             0.00045705,             0.00045705,             0.00045705
                      3,                0.50482,                0.64815,                      1,                0.86169,             0.00066375,             0.00066375,             0.00066375
                      4,                0.48648,                0.80556,                      1,                0.83032,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.4602,                0.84259,                      1,                 0.7168,             0.00064331,             0.00064331,             0.00064331
                      6,                0.38079,                0.87963,                      1,                0.73279,             0.00061975,             0.00061975,             0.00061975
                      7,                0.35101,                0.85185,                      1,                0.74146,             0.00059619,             0.00059619,             0.00059619
                      8,                0.32726,                0.80556,                      1,                0.73962,             0.00057263,             0.00057263,             0.00057263
                      9,                0.30266,                0.86111,                      1,                0.72144,             0.00054907,             0.00054907,             0.00054907
                     10,                0.30361,                0.87037,                      1,                 0.6875,              0.0005255,              0.0005255,              0.0005255
                     11,                0.27469,                0.84259,                      1,                0.72095,             0.00050194,             0.00050194,             0.00050194
                     12,                0.25776,                0.81481,                      1,                0.73181,             0.00047838,             0.00047838,             0.00047838
                     13,                0.24034,                0.84259,                      1,                0.74158,             0.00045482,             0.00045482,             0.00045482
                     14,                0.21902,                0.75926,                      1,                0.75574,             0.00043126,             0.00043126,             0.00043126
                     15,                0.24039,                0.80556,                      1,                 0.7489,             0.00040769,             0.00040769,             0.00040769
                     16,                0.20891,                0.86111,                      1,                0.74023,             0.00038413,             0.00038413,             0.00038413
                     17,                0.18956,                0.80556,                      1,                0.73853,             0.00036057,             0.00036057,             0.00036057
                     18,                 0.2175,                0.86111,                      1,                 0.7074,             0.00033701,             0.00033701,             0.00033701
                     19,                0.19957,                0.84259,                      1,                0.72827,             0.00031345,             0.00031345,             0.00031345
                     20,                 0.1764,                0.86111,                      1,                0.70508,             0.00028988,             0.00028988,             0.00028988
                     21,                0.14841,                0.86111,                      1,                0.71179,             0.00026632,             0.00026632,             0.00026632
                     22,                0.14764,                0.86111,                      1,                0.69897,             0.00024276,             0.00024276,             0.00024276
                     23,                0.14971,                0.84259,                      1,                0.72485,              0.0002192,              0.0002192,              0.0002192
                     24,                 0.1253,                0.84259,                      1,                 0.6886,             0.00019564,             0.00019564,             0.00019564
                     25,                0.12613,                0.83333,                      1,                0.71851,             0.00017207,             0.00017207,             0.00017207
                     26,                0.11452,                0.82407,                      1,                0.72534,             0.00014851,             0.00014851,             0.00014851
                     27,                0.12852,                0.83333,                      1,                0.74133,             0.00012495,             0.00012495,             0.00012495
                     28,                  0.114,                0.83333,                      1,                0.70935,             0.00010139,             0.00010139,             0.00010139
                     29,                0.11667,                0.83333,                      1,                0.70544,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.10223,                0.83333,                      1,                0.71326,             5.4264e-05,             5.4264e-05,             5.4264e-05
